^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|1 | taprvio18  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|225 | peerap03h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|226 | peerap04h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|227 | peerap05h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|228 | peerap06h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|229 | peerap07h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|230 | qaerap01h  |ERP App Server, Interfeace to EDI  |  |  |  |Lincolnshire  |  |Yes  |  |  |SAP FTA Application Server  |  || 
|231 | qgpwap01  |Test planisware app server  |  |  |  |Lincolnshire  |  |Y  |VMWARE  |  |Planisware  |  || 
|232 | pgpwap01  | Production application server  |  |  |  |Lincolnshire  |  | Y  | VMWARE  |  | Planisware  |  || 
|233 | pgpwap02  |Production planisware app server  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  | Planisware  |  || 
|234 | qggpap01h  |Test GPDM App Server  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  |GPDM Test Application Server  |  || 
|235 | pggpap01h  |Prod GPDM App Server  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  |GPDM Prod Application Server  |  || 
|236 | paerap01h  |PTA ERP App Server#1 TA-Direct Interface to PTA  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |SAP PTA TA-Direct  |  || 
|237 | paerap02h  |PTA ERP App Server#2 TA-Direct Interface to PTA  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |SAP PTA TA-Direct  |  || 
|238 | paerap03h  |PTA ERP App Server#3 TA-Direct Interface to PTA  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |SAP PTA TA-Direct  |  || 
|239 | paerap04h  |PTA ERP App Server#4 TA-Direct Interface to PTA  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |SAP PTA TA-Direct  |  || 
|240 | paerap05h  |PTA ERP App Server#5 TA-Direct Interface to PTA  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |SAP PTA TA-Direct  |  || 
|241 | pgntpap01  |  |pgnmsv01  |  |  |Lincolnshire  |  |  |VMWARE  |  |Lincolnshire Linux NTP server  |  || 
|242 | dgsmap00h  |  |  |  |  |Lincolnshire  |  |yes  |VMWare  |  |SAP HANNA Solution Manager  |  || 
|243 | dgsmha01h  |Development  |  |  |  |Lincolnshire  |  |yes  |VMWare  |  |DSM Development Soln Manager HANA DB server  |  || 
|244 | pablsv03  |Application Server  |  |  |  |Lincolnshire  |  |No  |  |  |LPAR2RRD  |  || 
|245 | pgsmha01h  |  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  |SNO  Production Soln Manager HANA DB server  |  || 
|246 | pgsmap00h  |  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |Solution Manager  |  || 
|247 | pgnetap01  |Collector / Aggregator  |pgnmsv01  |  |  |Lincolnshire  |  |  |  |  |Vertica  |  || 
|248 | pgnetws01  |Network Monitoring Tool - Webserver Portal  |pgnmsv01  |  |  |Lincolnshire  |  |  |  |  |Vertica  |  || 
|249 | pgnetdb01  | Network Monitoring Tool- Vertica DB server  |pgnmsv01  |  |  |Lincolnshire  |  |  |  |  |Vertica DB  |  || 
|250 | unixsandbox2  |UNIX Sandbox #2  |pgnmsv01  |  |  |lincolnshire  |6  |yes  |vios  |  |  |  |GIOS Unix Team, Robert Bieniek,Chris Stachowiak,Kapilraj Koroth| 
|251 | paitap01  |DBA Admin script server  |N/A  |  |  |Lincolnshire  |  |yes  |vmware  |  |Oracle DB run state maintenance scripts  |  |Kempe Gowda,Jose Peris| 
|252 | pgscap01h  |EWM SAP application server   |  |  |  |Lincolnshire  |  |  |VMWARE  |  |EWM SAP application server   |  || 
|253 | pocsndb01h  |POC server  |  |  |  |Lincolnshire  |  |VMWare  |Yes  |  |POC server  |  || 
|254 | pgstap01  |Production Unisphere server for VMAX  |  |VMWARE  |  |Interxion  |  |yes  |vmware  |  |  |  || 
|255 | dgsoap01h  |SAP Single Sign On(SSO)  |  |  |  |Lincolnshire  |  |  |VMware  |  |SAP Single Sign On(SSO)  |  || 
|256 | qgsoap01h  |QS1 SAP Single Sign On(SSO)  |  |  |  |Lincolnshire  |  |  |VMware  |  |QS1 SAP Single Sign On(SSO)  |  || 
|257 | qgsoap02h  |QS2 SAP Single Sign On(SSO)  |  |  |  |Lincolnshire  |  |  |VMware  |  |QS2 SAP Single Sign On(SSO)  |  || 
|258 | pgsoap01h  |  |  |  |  |  |  |  |  |  |  |  || 
|259 | pgsoap02h  |  |  |  |  |  |  |  |  |  |  |  || 
|260 | pgadap01  |TA2 SAP Admin App Server - BASIS  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |SAP ERP TA2  |  |Danny Smeets,Athi,Paul Caston| 
|261 | panmsv02  |Lincolnshire NIM Server#2 for AIX systems  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |Network Installation Manager-NIM Server  |  |GIOS Unix Team| 
|262 | pafoap02  |Oracle Forms App Server#2 working in tandem with pafoap01  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |Oracle FORMS  |  |Raj Shanmugam, Joe Hall| 
|263 | itcad001  |Manugistics Dev Oracle DB/App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |SRM-GTS-DEV-55A-SN06D309G  |Manugistics, Oracle (old unsupported)  |  |Tim Schmucker, Dave Curns| 
|264 | taitc109  |Global Solution manager-SMA TA-Direct,TA-Direct Load Balance and Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |taitc109-9111-520-SN10B493D  |SAP Solution Manager, SMA,Ta-Direct  |  || 
|265 | tedv2e01  |C11(EU) EDI Gentran App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Gentran EDI  |  |Peter Belcher,Rupak Nayak| 
|266 | taitc108  |Global SAP SRM Sandbox Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |3  |SAP SRM Sandbox, Oracle DB Server  |  |Danny Smeets, Athi, Raoul Serra, Paul Caston, Claire Jaques| 
|267 | daap3p01  |CTA Gentran EDI,Autosys, ConnectDirect  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |4  |EDI Gentran, Autosys, ConnectDirect  |  |EDI Team, GIOS Middleware team, Moon Do | 
|268 | dagi3p01  |Global GIS Development EDI App Server   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |5  |Global GIS DSBI  |  |EDI Team,Jarek Grebieszkow| 
|269 | dafoap01  |Oracle Forms App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |2  |Oracle Forms DFOR  |  | Raj Shanmugam, Moon Do, kempe Gowda| 
